id,eng,afr,xho,ssw,nbl,nso,ven,tso,sot,tsn,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info
dsac_pharmacy_first_edition_175,cystic fibrosis / CF,sistiese fibrose,iqhuma elinamanzi esibelekweni,simila lesinemanti / isistiki fayibhrosisi,isistikhifayibhrosisi / i-cystic fibrosis,sisitiki faeporosisi / sisitiki faeprosisi,saistikifaiburosisi,tshumbaxifayiburosisi / sisitikifayiburosisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_176,cytotoxin,sitotoksien / selgif / sitotoksine,isityhefiseli,butsitinhlayiya,itjhefu esemaselini / isayithothokzini,mpholosele,mulimo kha tsiki / mulimo kha sele,chefu ya tisele,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_177,day hospital,daghospitaal,isibhedlele sasemini,sibhedlela lesingalalisani,isibhedlela semini,bookelotšatši,sibadela tsha ḓuvha / vhuongelo ha ḓuvha,xibedhlelenkalato,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_178,decontamination,dekontaminering / dekontaminasie,ukususa ungcoliseko,kuhlanta / kuhlobisa,ihlwengiso,tlhwekišo,u bvisa tshikafhadzo / vhubvisatshikafhadzo,ntengiso,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_179,decreasing dosage / tapering dosage,afnemende dosis,ucuthomlinganiselo,kunciphisa silinganisomutsi / kwehlisa umtsamomutsi,isilinganiso esiphungukako,phokotšotekanetšosehlare,phungudzaphimamushonga,mpimamurhi wo hunguteka,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_180,defined daily dose / DDD,gedefinieerde daaglikse dosis / vasgestelde daaglikse dosis,umlinganiselo omiselweyo ngosuku,silinganisomutsi selilanga / umtsamomutsi welilanga,isilinganiso sokuselwa ngelanga,tekanyohlaretšatši,phimamushongatiwa ya ḓuvha,mpimamurhi lowu vekiweke,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_181,depot,depot,isitofu esihlalayo emzimbeni / idepho,umutsi lohlala sikhatsi emtimbeni / idepho,umjovo ohlala isikhathi emzimbeni / idepho,bokgobelo / depho,depo / vhufaredzi,depo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_182,desiccant,uitdroogmiddel / droogmiddel,isithintelikufuma,sisusamhwamuko,isirhwamisi / isomisi,semonamonola / desikhente,tshikokodzamuṋula / tshiomisi,xiomisi,,,,drying agent,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_183,dextromethorphan / DXM,dekstrometorfaan,idextromethorphan,umutsi wekukhwehlela lotsite / idekthromethofani,isihlahla somgomani esingakhobongiko / isihlahla somgomani esingalalisiko,dekeseteromethorofene,mushonga wa mukhushwane / dextromethorphan,dekisitiromethofene,,,,cough suppressant,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_184,dextrose / dextroglucose,dekstrose / dekstroglukose,iswekile yendalo / idekstrosi,shukela wemvelo / idekthrosi,umhlobo wetjhukela / ideksithrosi,dekeseterouse / mohutaswikiri,dexitrose / dextrose,dekisitirosi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_185,diagnostic agent,diagnostiese middel / diagnostiese agens,isifumanisisifo / isixilongisifo,siphengulisifo / sibonisisifo / inkhombasifo,isiphenguli / isipopoli,selemošalwetši,tshithusa ngwanavhulwadze,xifembi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_186,dialysis,dialise,ucocogazi / idayalasisi,luhlantongati lwekwentiwa / idayalisisi,isihlambulukisi / idayalisisi,tlhwekišomadi / daelesese,vhuṱanzwa malofha / daiḽisisi,nhlantswangati hi muchini / mbhasisangati hi muchini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_187,diffusion,diffusie,ukusasazeka / ukunwena,kusabalala,idifuyitjhini,phatlalalo,u phaḓalalo / phaḓalalo / phaḓaladzo / phaḓaladza,hangalako,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_188,digestant / digestive,spysverteringsmiddel / verteermiddel,isicolikutya,insitakugaya / setjisi,isigayisi,sethušatšhilo,tshithusatsukanyo,xipfunetanghayelo / xipfunetampfuvelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_189,diluent / dilutent,verdunner / verdunmiddel,isingxengi / isiqungi,sikhulisiphilisi / sengetiphilisi,isitjhujisi,setswaki,tshihudzaphilisi / diḽuwenthi,xitimuri,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_190,dilution,verdunning,ungxengo ngokwemilinganiselo,kuntempula,umqarho,timolo,nzimulo,ntimulo,,,,e.g. a solution,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_191,direct compression,regstreekse saampersing,uvelisopilisi,indlelalula yekukhicita liphilisi,indlela yokwenza ipilisi,patišothwii,vhukwanyaphilisitswii,gandlelonkongomo,,,,in e.g. tablet production,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_192,disaccharide,disakkaried / disakkaride,intlanganisela yeeswekile ezimbini / idayisakharayidi,inhlanganisela yaboshukela lababili / idayisakharayidi,ihlanganisela yeentjhukela ezimbili / idayisakharayidi,swikirimehutamebedi / daesakharaete,daisakharaidi,dayisakharayiti,,,,chemistry,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_193,disintegrant / disintegrating agent / disintegrator,disintegreermiddel / disintegreeragens,isinyibilikisipilisi,sincitsiti / sincibilikisi,isincibilikisi,senyaoši / searogantšhi,tshikwashaphilisi,xin'okisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_194,dispense,resepteer,ukukhupha amayeza,kukhipha imitsi,khupha iinhlahla / phuthelisa iinhlahla,kabohlare,vhuṋeamushonga / vhuṋetshedzamushonga,ku nyika mirhi,,,,medication,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_195,dispensing doctor,resepterende dokter / resepterende geneesheer,ugqirha onegunya lokukhupha amayeza,dokodela logunyatwe kukhipha imitsi,udorhodere okhupha iinhlahla / udorhodere ophuthelisa iinhlahla / udorhodere onikela iinhlahla,ngakaabahlare,dokotela muṋeamushonga,dokodela wo nyika mirhi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_196,dispensing fee,resepteerfooi / resepteergeld,umrhumo wokukhutshwa kwamayeza,imali yekukhipha umutsi / imali yekunikwa umutsi,imbadalo yokunikelwa iinhlahla / imali yokuphutheliswa iinhlahla,tefelobaabihlare / tefelokabohlare,mbadelo ya vhuṋeamushonga,hakelo yo nyikiwa mirhi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_197,diuretic,diuretikum / urienafdrywer / urineafdrywer,isikhamimanzi ngokuchama,lokuchamisanako / lokutfundzisanako,okukhuthaza ukwakheka komhlambuluko,sefehlamoroto,mushonga wa u ṱuṱuwedza u ṱambuluwa / ṱhuṱhuwedzamuṱambuluwo,xitsakamisisi,,,,to promote the production of urine,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_198,diverticulitis,divertikulitis,ukudumba kobhobhosi,sifo semabhamuta ematfunjini / sifo sekuvuvuka ematfunjini / idayivethikhulayilathisi,amatjhatjhazi angemathunjini / idayivethikhyulayithisi,tšhatšhamelothurugole lalegolo / daevethikhulaesese,nzwimbaḽila / daivethikhulaitisi,mpfimbo eka rhumbukulu / ndzhumbelo eka nkulungwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_199,divided dose / fractionated dose,verdeelde dosis,ukwahlulwa komlinganiselo wosuku,silinganisomutsi lesihlukanisiwe,isilinganiso esihlukanisiweko,tekanyohlarearogantšhwa,phimamushongakhethe kanywa,mpimamurhi hi nkavanyiso,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_200,dizziness,duiseligheid / vertigo,isiyezi / isizunguzane / incilikithi,siyeti / inzululwane,isiyezi / isiyeziyezi,modikologo / letšokwane / ledietšane,dzungu,nsululwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_201,dosage formulation,doseerformulering / doseerformulasie / doseervorm,ulwakhekomlinganiselo weyeza,kwakheka kwesilinganisomutsi / kwakheka kwemtsamomutsi,isakheko sesilinganiso,tlhamegohlare,shivhumbeo tsha mushonga,xivumbeko mpimamurhi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_202,dosage group,dosisgroep,iqela ngokomlinganiseloyeza,licembu lelitfola silinganisomutsi lesifanako,isiqhema sesilinganiso esifanako,sehlophafiwatekanyohlare,tshigwada tsha mushonga phiṅwa,ntlawa wa mpimamurhi,,,,in clinical trial,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_203,dosage strength,dosissterkte,amandla omlinganiseloyeza,emandla esilinganisomutsi,amandla wesilinganiso sesisihlahla,maatlatekanyohlare,vhuhali ha mushonga / maanḓa a mushonga,matimba mpimamurhi / ntamu mpimamurhi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_204,double-blind study,dubbelblinde studie,uphononongo olufihlwe macala,lucwaningo lolufihlwe nhlangotsi totimbili,irhubhululo elifihlelwe iinqhema zombili,nyakišišophihlegopedi,ngudotshipofu ya vhadzheneli na vhaṱoḓisisi,ndzavisiso tumbelelamitlawa hamimbirhi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_205,Down's syndrome,down sindroom / Down se sindroom,imongolo,lufutotsite lwekukhubateka / i-Down syndrome,isindromu kaDown / ubumongolo / ubudalwa,Sinteromo ya Down,Sinḓiromu ya Down / Down's syndrome,ritsanu ra Down / ntsanomiehleketo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_206,dressing,verband / wonddekking,isibophisilonda / isigqumisilonda / ibhandeji,ibhandishi,ibhanditjhi,khupetšontho,banditsha,xipfalambanga / xipfalaxilondza,,,,wound,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_207,dropper,drupper,isithontsizisiyeza / isiqabaziyeza,sitfonsiseli,isithontisisihlahla,serothetšasehlare,tshirothedzamushonga,xithoniselamurhi,,,,medicine,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_208,drug delivery,middeltoediening / medisynetoediening / medikasietoediening,ungenisochiza / ungenisoyeza,lungenisomutsi emtimbeni,indlela yokufaka isihlahla emzimbeni,phihlišohlaremmeleng,kushumisele kwa u tshidzidzivhadzitshibveledz wa,vunghenisamurhimirini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_209,drug-drug interaction,geneesmiddelinteraksie / middelinteraksie / middelwisselwerking,ungquzulwanomachiza emzimbeni,kwalana kwemitsi,ukurhagana kwemitjhoga / ukunyefisana kweenhlahla,tsenelelanohlare,thithisano ya mishonga,ntirhisanankokelano wa mirhi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_210,drug product,geneesmiddelproduk / medisyne,ichiza,umutsi,isihlahla,sehlare,tshibveledzwa tsha tshidzidzivhadzi,ximakiwa xa murhi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_211,dry granulation,droë granulering / droë granulasie / droë korrelvorming,uhlalutyisomgubo olungenamanzi,kuhhaya,ukubumba iinthoro ngaphandle kwetlelezi,thorofatšokomišo,vhudzhenisamushonga,ndzhohohato hi ku omisa / njhorhohato hi ku omisa,,,,of powders,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_212,dysentery,disenterie,utyatyazo,sisu leselekako / umsheko lonengati,isirhudo / indenebomvu,mokokomalo / tengkhwibidu,ṋowakhulu,nchuluko / hudo,,,,,,,,,,,,,,,,,,nhlamba,,,,
dsac_pharmacy_first_edition_213,dysmenorrhoea,dismenorree / menstruasiepyn / pynlike maandstonde,isiluma,silumo,isilumo,selomi / disimenoriya,tshilumi,xilumi,,,,painful menstruation,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_214,earache / otalgia,oorpyn / otalgie,uqaqamba kweendlebe,buhlungu bendlebe,ubuhlungu bendlebe,bohlokotsebe,vhuṱungu ha nḓevhe / u rema ha nḓevhe,ku vava ka ndleve,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_215,ear drops,oordruppels,iyeza lendlebe,ematfonsi endlebe,isihlahla sokuthontisela ngeendlebeni / amathosana weendlebe,sehlarerothetšatsebe,mushonga wa nḓevhe,xithoniselwandleveni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_216,earplug,oorpluisie / oorprop,isivingcindlebe,sivalindlebe,isivalindlebe,sethibatsebe,tshithivhanḓevhe / tshivalanḓevhe,xipfalandleve,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_217,effective dose / ED,doeltreffende dosis / doelmatige dosis / effektiewe dosis,umlinganiselo osebenzayo,silinganisomutsi lesisebentako,isilinganiselosihlahla esisebenzako,tekanyohlarephodišo,phimotswikelandivho,mpimamurhindzinganelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_218,effervescent tablet,bruistablet,ipilisi ehlwahlwazayo,liphilisi leliphuphumako / liphilisi lelibilako,ipilisi elibhubhudlhako / ipilisi elibilako,philisipilošameetse,philisiphuphumi,philisin'okisiwa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_219,elastic adhesive bandage,rekbare kleefverband / elastiese kleefverband,ibhandeji encamathelayo enwebekayo,ibhandishi lenamatsela ibuye inwebeke,ibhanditjhi enamathelako etamulukako,pandetšekgomarelotaramologa,banditshitatamuwa,bandichintsanyukadama,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_220,elastic stocking / compression stocking,rekkous / elastiese kous,iikawusi ezihambisa igazi,lisokisi lelicindzetelako,ikowusi lokwelapha,makušatshepetšomadi,swogisitatamuwa,sokisiximanyela,,,,e.g. for patients with varicose veins,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_221,electrodialysis / ED,elektrodialise,ucocogazi esibhedlele / ucocogazi ngomatshini,kuhanjiswa kwemamolekhuli ngagezi,indlela yokuhlambulukisa / i-ilekthrodayilisisi,elekhetherodaelesese,eḽekiṱrodaiḽisisi / eḽektrodaiḽisisi,elekitirodayilisisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_222,electrolyte,elektroliet,iityuwa zomzimba / ielektrolayithi,luswayi lwekuvusela umtimba / i-ilekhrolayithi,amatswayi womzimba / i-ilekthrolayithi,eleketherolaete / elekthrolaete,muvango wa eḽikiṱiroḽaithi / muvango wa eḽikitroḽaithi,xilawulandzingano xa swihalakimirini,,,,nutrition,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_223,electron microscope,elektronmikroskoop,isibonakhulu se-elekthroni / imayikhroskowupu yeelekthroni,sikhulisikubona seilekthroni,imayikhroskowuphi yeelekthroni,maekherosekoupo eleketherone,maikhirosikoupu wa eḽekiṱironi / maikhrosikoupu wa eḽektroni,xivonatsongo xilekitironi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_224,elixir,elikser,isincasanisiyeza,sinandzisimutsi / i-eleksa,isinandisisihlahla / i-elekse,seelanatefišahlare / seelatsefišahlare,eḽikisa,xinyanganyisi / xitsokomberisi / elekise,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_225,elution,eluering / elusie,ukuhluza,kuhlunga ngekuncibilikisa / kuhluta ngekubilisa,ukutlhodlha,go menya / tlhotlo,u ṱuḓa / vhuṱuḓi,ntsavulo,,,,diagnostic process,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_226,emaciation,uittering / vermaering,ukunqiniswa kukugula,kondza lokwendlulele / kuzaca,ukonda / ubukgheredlha / ukurhutjheka,go ota,muondo,ku ondza / ku beka / ku hela,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_227,embrocation / liniment,smeermiddel,umrabho,imbulukhesheni,umhlikihlelo / i-embrokheyitjhini,setlolo,tshiḓolo,xichukuchelanhlongeni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_228,emergency treatment,noodbehandeling,unyango olungxamisekileyo,kwelapha lokuphutfumako,isizo elirhabako,kalafotšhoganetšo,dzilafho ḽa shishi,ntshunguloxilamulelamhangu / ntshungula xihatla,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_229,emetic,emetikum / braakmiddel,iyeza lokugabha / iyeza lokuhlanzisa,sihlantisi / sigabhisi / siphalazisi,isigabho / isiphalazisi / isihlanzisi,sehlatšiši,tshiṱanzisi,xihlantisi / xihazisi,,,,medicine that causes vomiting,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_230,encephalitis,breinvliesontsteking / enkefalitis / ensefalitis,ukukrala kobuchopho / iensefalayithisi,kuvuvuka kwebucopho / i-ensefalayithisi,ukufutha kobuqopho / i-enkhesefalayithisi,tšhatšhamelothurugobjoko / ensifilaethisi,nzwimbavhuluvhi,mpfimbabyongo / ndzhumbelabyongo,,,,inflammation of the brain,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_231,endemic disease,endemiese siekte,isifo sengingqi,sifo sakuleyondzawo,isifo sendawo / ubulwele balapho,bolwetšifelo,vhulwadzehapo / sisteme ya thanga,vuvabyi bya ndhawu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_232,endocrine system,endokriene stelsel,ulungelelwanolawulo lwamadlala,kusebentisana kwemadlala,isebenziswano lamadlala,mokgwapeakanyothaka,sisiṱeme ya thanga / sisteme ya thanga,sisiteme ya nhlarimbya,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_233,endometriosis,endometriose,isihluma esibelekweni,sifo sekusabalala kwemantfweshu esibeletfweni,ukuvela kweemila esibelethweni,bolwetšikalopopelo / endomethereosisi,vhulwadzephaḓaladza tsikila dza mbumbelo / endomeṱiriosisi / endometriosisi,vuvabyi bya khumbi ra xivelekelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_234,endometrium / uterus lining,endometrium / baarmoederwand,inwebu yesibeleko,lutfwatfwasi lwesibeletfo,ithwethwesi lesibeletho,boalopopelo / endomethiriamo,tsikila dza mbumbelo / endometriamu,khumbi ra xivelekelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_235,endotoxin,endotoksien / endotoksine,ityhefu ekwintsholongwane,butsi lobuhlasela inhlayiya / butsi lobhlasela emaseli emtimbeni,itjhefu yomulwana / i-endothokzini,mphologarepaketheria,bakitheriambangamulilo / endotokizini,vuxungu bya le ndzeni ka sele,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_236,enema / clyster,enema / dermspoeling / klisma,iyeza lokucima,kucatseka / kupeyita,ukucatha / ukupeyida,peita / go peita,tshipeiṱi,ku peyinta,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_237,enteric coating,enteriese bedekking,ukwaleka ipilisi,kugcotjiselwe kuncibilika kancane kancane,ukwelekela amathunjana,khoututitelatologo,philisindodzwaluvhemba phirelamalani,philisintitoxitswongiwamarhumbyini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_238,enteritis,enteritis / dermontsteking / ingewandsontsteking,ukukrala kwamathumbu,kudvumba kwelitfunjana,ubuhlungu bamathunjana,tšhatšhamelothurugolelana / leatla,nzwimbalula,mpfimbamarhumbu / ndzhumbelamarhumbu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_239,ephedrine,efedrien / efedrine,iefedrini,i-ifedrini,i-efedrini,ifedirine / ifedrine,ephedrine,efedirini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_240,epidural anaesthetic / epidural anesthetic,epidurale narkosemiddel,isidambisizivo zomqolo,sidzambisimiva semgogodla,isidambisi semizwa yangenzasi kwedini,seidibatšihlabamokokotlo / seidibatši sa ephitšurale,tshidzidzivhadzavhupotiwa,xititivatalongo / xitlanyatalongo,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_241,epilepsy,epilepsie / vallende siekte,isithuthwane / ukuxhuzula / isifo sokuwa,sitfutfwane / sifo sekuwa,isithunthwana,dikotwane / bolwetši bja go wa,tshifakhole / tshiririvha / tshiivha,switshetshela,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_242,erythema dose,eriteemdosis,umlinganiselo wotshisosikhumba,silinganisokuklabhela,isilinganiso sokutjhiswa kwesikhumba,tekanyohlarehwibitšatlalo,phimomufhiso tswukulusalukanda,mpimamurhi wa erithema,,,,radiation,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_243,erythrocyte / red blood cell,rooibloedsel / eritrosiet,ierithrosayithi / iseli yegazi ebomvu,iseli yengati lebovu / i-erythrocyte,iseli leengazi elibomvu,selekhubedu,seletswuku ya malofha / tsikitswuku ya malofha,sele ya ngati yo tshwuka,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_244,erythromycin,eritromisien,ierithromayisini,sibulalimagciwane / i-erithromisini,isibulalimulwana / i-erithromayisini,eritheromaesini,eristhromaisini / erithyiromaisini,erayithiromayisini,,,,antibiotic,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_245,escalating dosage,stygende dosis,umlinganiselo owongezwayo,silinganisomutsi lesengetwako,isilinganiso esingezelelwako,tekanyohlarekoketšego,nyengedzophimodzilafho,mpimamurhiengeteleko,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_246,essential medicine,essensiële medisyne / noodsaaklike medisyne,amayeza angundoqo,umutsi losidzingo / umutsi losisekelo,isihlahla ekuphilwa ngaso / isihlahla esisisekelo,sehlarenyakegokgolo,mushonga wa ndeme,murhixidingo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_247,ethanoic acid / acetic acid,asynsuur / etanoësuur,iathanoyikhi asidi / iviniga yaselebhu,i-esidi lenebuviniga,iviniga,esiti ya ethanoiki / binika,viniga / ethanoikiesidi / ethanoikidungi,ethanoyiki-asidi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_248,ethanol / ethyl alcohol,etanol / etielalkohol,i-ithanoli,i-alkhoholi,i-ethanoli,ethanolo,ethanoḽo,ithanolo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_249,ethical drug,etiese medisyne / etiese geneesmiddel,ichiza elifumaneka ngokusemthethweni,umutsi lomiselwe / likhambi lelimiselwe,isihlahla esitholakala ngomlayelo,sehlaretumelelwa,tshidzidzivhadzi tsho themendelwaho / tshidzidzivhadzithemen delwa,xidzidziharindzawulelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_250,eutectic,eutekties,-nyibilika lula,-ncibilika kakula,-ncibilikako / -tjhubako,-tološwago nolo,tshiluḓitshayatshanduko / tshidzidzivhadzithemen delwa,-tiyan'oka hi ku olova,,,adjective,a solution,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_251,excipient,bindmiddel / bindstof,isongezelelo kulwenziwoyeza,sitsakophilisi,isithako sepilisi,setlaleletšaphilisi,zwivhumbamishonga,xiheleketaphilisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_252,excoriation,skawing / afskawing,umenzakalo esikhumbeni,kuhwebheka / kuhhwebheka,ukuphunyuka,mongwapo / go ngapega,mbalealukanda,ku haleka / ku khwayeka,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_253,excretion,uitskeiding / ekskresie,okukhutshwa ngumzimba,kukhipha kungcola emtimbeni,ukukhupha okungasafunekiko emzimbeni,ntšhotšhilammeleng,u bvisa tshika / vhubvisatshika,ku humesa thyaka,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_254,excretory system,uitskeidingstelsel / ekskresiestelsel,inkqubo yokukhupha komzimba,luhlelo lwekukhipha kungcola emtimbeni,irherho lokukhupha okungafunekiko emzimbeni,mokgwapeakanyontšhotšhilammeleng,sisiṱeme ya u bvisa tshika muvhilini / sisteme ya bvisatshika,sisiteme yo humesa thyaka,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_255,exhaustion,uitputting,ukudubeka komzimba,kudzinwa / kukhatsala,ukudinwa khulu,molapo / tapo,khuleanungo / maneto,ntshimbitelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_256,exotoxin,eksotoksien / eksotoksine,ityhefu ekhutshwa yintsholongwane,butsi lobuhlasela lingaphandle lenhlayiya,itjhefu esahlela ilingaphandle leseli,mpholontlepaketheriya,mulimomviselwannḓa ha bakitheria / ekzothikizini,vuxungu bya le handle ka sele,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_257,expectorant,ekspektorant / slymverdunner,isithambisisikhohlela,umutsi lotsambisa sifuba,isihlahla esikhupha isikhohlela / i-ekspekthorenti,sentšhasehuba / sentšhasegohlolwa,mushongamvisatshilangwa,murhi wo pfula xifuva / xihumesisaxikhohlola,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_258,extended-release medication,vrystellingsgereguleerde medisyne / vrystellingsgereguleerde medikasie / verlengdevrystellingsmedisyne / verlengdevrystellingsmedikasie,iyeza elihlalayo emzimbeni,umutsi losebenta sikhatsi lesidze,isihlahla esisebenza isikhathi eside,tokollohlarekatološo,mushongamushuma nga mutomemutome,murhi wo tirha nkarhi wo leha,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_259,family history,familiegeskiedenis,imbali yempilo yosapho,umlandvomphilo wemndeni,umlando womndeni,historilapa,ḓivhazwakale ya muṱa,matimu ya ndyangu,,,,of e.g. illnesses,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_260,fibrosis,fibrose / bindweefselverdikking,ifayibhrosisi,sifo semitsambo,ifayibhrosisi,faeporosisi,faiburosisi / faibrosisi,fayiburosisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_261,finished product,eindproduk / voltooide produk,imveliso egqityiweyo / iyeza eligqityiweyo ukwenziwa,umkhicito,umkhiqizo opheleleko / ipahla epheleleko,sehlarephethagetše,tshibveledzwakhunyeledzwa,ximakiwa lexi nga hela,,,,medicinal product,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_262,fixed oil,nievlugtige olie,ioyile engangxengwanga / ioyile engaphithikezwanga,i-oyili lengahwamuki / emafutsa langahwamuki,i-oli yokudla engatjhugulukiko / amafutha wokudla angatjhugulukiko,olisemoyafale,mapfuramvelo / oiḽimvelo,mafurha ya ntumbuluko,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_263,food poisoning,voedselvergiftiging,ukuguliswa kukutya okutyhefekileyo,kugula lokubangwa kudla lokunebutsi,ukuguliswa kukudla okunetjhefu,bolwetšitšhilafalodijong,vhulwadze ha tshikafhadzo / vhulimodzwa nga zwiḽiwa,nchefuhato hi swakudya,,,,,,,,,,,,,,,,,,,,,,
